rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude
891.4,2020,1,2020H1,1,Louth,Leinster,Drogheda,"Drogheda, Louth",Apartment,One bed,1,FALSE,FALSE,FALSE,53.9252,-6.4889
733.88,2020,1,2020H1,1,Louth,Leinster,Dundalk,"Dundalk, Louth",Apartment,One bed,1,FALSE,FALSE,FALSE,53.9252,-6.4889
552.16,2020,1,2020H1,1,Mayo,Connacht,Mayo,Mayo,Apartment,One bed,1,FALSE,FALSE,TRUE,53.855,-9.2986
544.61,2020,1,2020H1,1,Mayo,Connacht,Ballina,"Ballina, Mayo",Apartment,One bed,1,FALSE,FALSE,FALSE,53.855,-9.2986
574.61,2020,1,2020H1,1,Mayo,Connacht,Castlebar,"Castlebar, Mayo",Apartment,One bed,1,FALSE,FALSE,FALSE,53.855,-9.2986
909.89,2020,1,2020H1,1,Meath,Leinster,Meath,Meath,Apartment,One bed,1,FALSE,FALSE,TRUE,53.6055,-6.6564
735.78,2020,1,2020H1,1,Meath,Leinster,Kells,"Kells, Meath",Apartment,One bed,1,FALSE,FALSE,FALSE,53.6055,-6.6564
874.42,2020,1,2020H1,1,Meath,Leinster,Navan,"Navan, Meath",Apartment,One bed,1,FALSE,FALSE,FALSE,53.6055,-6.6564
816.21,2020,1,2020H1,1,Meath,Leinster,Trim,"Trim, Meath",Apartment,One bed,1,FALSE,FALSE,FALSE,53.6055,-6.6564
546.66,2020,1,2020H1,1,Monaghan,Ulster,Monaghan,Monaghan,Apartment,One bed,1,FALSE,FALSE,TRUE,54.2492,-6.9683
588.38,2020,1,2020H1,1,Monaghan,Ulster,Monaghan Town,Monaghan Town,Apartment,One bed,1,FALSE,FALSE,FALSE,54.2492,-6.9683
598.12,2020,1,2020H1,1,Offaly,Leinster,Offaly,Offaly,Apartment,One bed,1,FALSE,FALSE,TRUE,53.2734,-7.7783
530.37,2020,1,2020H1,1,Offaly,Leinster,Birr,"Birr, Offaly",Apartment,One bed,1,FALSE,FALSE,FALSE,53.2734,-7.7783
676.22,2020,1,2020H1,1,Offaly,Leinster,Tullamore,"Tullamore, Offaly",Apartment,One bed,1,FALSE,FALSE,FALSE,53.2734,-7.7783
525.3,2020,1,2020H1,1,Roscommon,Connacht,Roscommon,Roscommon,Apartment,One bed,1,FALSE,FALSE,TRUE,53.7593,-8.2682
587.8,2020,1,2020H1,1,Sligo,Connacht,Sligo,Sligo,Apartment,One bed,1,FALSE,FALSE,TRUE,54.2766,-8.4761
577.45,2020,1,2020H1,1,Sligo,Connacht,Sligo Town,Sligo Town,Apartment,One bed,1,FALSE,FALSE,FALSE,54.2766,-8.4761
524.15,2020,1,2020H1,1,Tipperary,Munster,Tipperary,Tipperary,Apartment,One bed,1,FALSE,FALSE,TRUE,52.4738,-8.1619
519.42,2020,1,2020H1,1,Tipperary,Munster,Clonmel,"Clonmel, Tipperary",Apartment,One bed,1,FALSE,FALSE,FALSE,52.4738,-8.1619
542.93,2020,1,2020H1,1,Tipperary,Munster,Nenagh,"Nenagh, Tipperary",Apartment,One bed,1,FALSE,FALSE,FALSE,52.4738,-8.1619
670.23,2020,1,2020H1,1,Waterford,Munster,Waterford,Waterford,Apartment,One bed,1,FALSE,FALSE,TRUE,52.2593,-7.1101
682.84,2020,1,2020H1,1,Waterford,Munster,Waterford City,Waterford City,Apartment,One bed,1,FALSE,TRUE,FALSE,52.2593,-7.1101
647.24,2020,1,2020H1,1,Westmeath,Leinster,Westmeath,Westmeath,Apartment,One bed,1,FALSE,FALSE,TRUE,53.5336,-7.3389
684.09,2020,1,2020H1,1,Westmeath,Leinster,Athlone,"Athlone, Westmeath",Apartment,One bed,1,FALSE,FALSE,FALSE,53.5336,-7.3389
606.1,2020,1,2020H1,1,Westmeath,Leinster,Mullingar,"Mullingar, Westmeath",Apartment,One bed,1,FALSE,FALSE,FALSE,53.5336,-7.3389
584.21,2020,1,2020H1,1,Wexford,Leinster,Wexford,Wexford,Apartment,One bed,1,FALSE,FALSE,TRUE,52.3369,-6.4633
635.72,2020,1,2020H1,1,Wexford,Leinster,Gorey,"Gorey, Wexford",Apartment,One bed,1,FALSE,FALSE,FALSE,52.3369,-6.4633
549.34,2020,1,2020H1,1,Wexford,Leinster,New Ross,"New Ross, Wexford",Apartment,One bed,1,FALSE,FALSE,FALSE,52.3369,-6.4633
1050.34,2020,1,2020H1,1,Wicklow,Leinster,Wicklow,Wicklow,Apartment,One bed,1,FALSE,FALSE,TRUE,52.9862,-6.3673
743.51,2020,1,2020H1,1,Wicklow,Leinster,Arklow,"Arklow, Wicklow",Apartment,One bed,1,FALSE,FALSE,FALSE,52.9862,-6.3673
1126.09,2020,1,2020H1,1,Wicklow,Leinster,Bray,"Bray, Wicklow",Apartment,One bed,1,FALSE,FALSE,FALSE,52.9862,-6.3673
582.92,2020,1,2020H1,1,Carlow,Leinster,Carlow,Carlow,Other flats,One bed,1,FALSE,FALSE,TRUE,52.8365,-6.9341
446.1,2020,1,2020H1,1,Cavan,Ulster,Cavan,Cavan,Other flats,One bed,1,FALSE,FALSE,TRUE,53.9908,-7.3606
426.76,2020,1,2020H1,1,Clare,Munster,Clare,Clare,Other flats,One bed,1,FALSE,FALSE,TRUE,52.843,-8.9863
