rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude,bedrooms_max
1445.73,2020,1,2020H1,1,Dublin,Leinster,Ashtown,"Ashtown, Dublin 15",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1267.49,2020,1,2020H1,1,Dublin,Leinster,Royal Canal Park,"Royal Canal Park, Dublin 15",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1514.88,2020,1,2020H1,1,Dublin,Leinster,Dublin 16,Dublin 16,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1593.89,2020,1,2020H1,1,Dublin,Leinster,Dundrum,"Dundrum, Dublin 16",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1320.59,2020,1,2020H1,1,Dublin,Leinster,Rathfarnham,"Rathfarnham, Dublin 16",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1223.13,2020,1,2020H1,1,Dublin,Leinster,Dublin 17,Dublin 17,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1204.92,2020,1,2020H1,1,Dublin,Leinster,Malahide Road,"Malahide Road, Dublin 17",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1514.42,2020,1,2020H1,1,Dublin,Leinster,Dublin 18,Dublin 18,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1756.65,2020,1,2020H1,1,Dublin,Leinster,Leopardstown,"Leopardstown, Dublin 18",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1508.97,2020,1,2020H1,1,Dublin,Leinster,Sandyford,"Sandyford, Dublin 18",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1435.29,2020,1,2020H1,1,Dublin,Leinster,Stepaside,"Stepaside, Dublin 18",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1271.1,2020,1,2020H1,1,Dublin,Leinster,Dublin 20,Dublin 20,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1225.08,2020,1,2020H1,1,Dublin,Leinster,Chapelizod,"Chapelizod, Dublin 20",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1206.8,2020,1,2020H1,1,Dublin,Leinster,Clondalkin,"Clondalkin, Dublin 22",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1200.21,2020,1,2020H1,1,Dublin,Leinster,Dublin 24,Dublin 24,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1239.46,2020,1,2020H1,1,Dublin,Leinster,Tallaght,"Tallaght, Dublin 24",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
812.3,2020,1,2020H1,1,Galway,Connacht,Galway,Galway,Apartment,One bed,1.0,False,False,True,53.2707,-9.0568,1
905.46,2020,1,2020H1,1,Galway,Connacht,Galway City,Galway City,Apartment,One bed,1.0,False,True,False,53.2707,-9.0568,1
621.18,2020,1,2020H1,1,Kerry,Munster,Kerry,Kerry,Apartment,One bed,1.0,False,False,True,52.1545,-9.5669,1
718.72,2020,1,2020H1,1,Kerry,Munster,Killarney,"Killarney, Kerry",Apartment,One bed,1.0,False,False,False,52.1545,-9.5669,1
